enunciado|alternativa_1|alternativa_2|alternativa_3
O que o modo 'a' faz ao abrir arquivos?|Adiciona conteúdo (Append)|Apaga e escreve|Lê o arquivo
Qual método fecha um arquivo aberto?|.close()|.end()|.stop()
Qual é a saída de print("Olá" * 0)?|(String vazia)|Olá|Erro
Python diferencia maiúsculas de minúsculas?|Sim (Case Sensitive)|Não|Depende do sistema
Qual palavra-chave cria uma classe?|class|object|struct
O que é 'self' em uma classe?|Referência à instância atual|Uma variável global|O nome da classe
Qual é o método construtor de uma classe?|__init__|__start__|__main__
Como criar uma lista de 0 a 9?|list(range(10))|list(0..9)|range(0, 10)
O que o método .join() faz?|Une elementos de uma lista|Separa uma string|Cria uma lista
Qual o operador lógico para 'OU exclusivo'?|^|xor|><
Como verificar se uma chave existe no dicionário?|if chave in dic:|if dic.has(chave):|if dic.exist(chave):
Qual o resultado de 2 + 2 * 3?|8|12|10
Qual erro ocorre ao somar str e int?|TypeError|ValueError|SyntaxError
O que significa concatenar?|Juntar strings|Somar números|Dividir listas
Qual a função para ordenar uma lista?|.sort()|.order()|.rank()
Como inverter a ordem de uma lista?|.reverse()|.back()|.invert()
Qual variável armazena números com ponto flutuante?|float|double|real
O que é uma docstring?|String de documentação|Erro de string|Nome de arquivo
